model,price,rating,reviews,title
chair,"$69.32,$89.71",4.2 out of 5 stars,"30,431","Amazon Basics Classic Puresoft PU Padded Mid-Back Office Computer Desk Chair with Armrest - Brown, 25.75""D x 24.25""W x 42.25""H"
chair,,,,
chair,,,,
chair,,,,
chair,,,,
chair,,,,
chair,,,,"Amazon Basics Classic Puresoft PU Padded Mid-Back Office Computer Desk Chair with Armrest - Brown, 25.75""D x 24.25""W x 42.25""H"
chair,,4.2 out of 5 stars,"30,431",
chair,"$69.32,$89.71",,,
chair,,,,
chair,,,,
chair,,,,
chair,"$61.87,$82.49",4.4 out of 5 stars,"15,976","Amazon Basics Mesh, Mid-Back, Adjustable, Swivel Office Desk Chair with Armrests, Black"
chair,,,,
chair,"$61.87,$82.49",4.4 out of 5 stars,"15,976","Amazon Basics Mesh, Mid-Back, Adjustable, Swivel Office Desk Chair with Armrests, Black"
chair,,,,"Amazon Basics Mesh, Mid-Back, Adjustable, Swivel Office Desk Chair with Armrests, Black"
chair,,4.4 out of 5 stars,"15,976",
chair,"$61.87,$82.49",,,
chair,"$78.41,$99.73",4.5 out of 5 stars,"4,413","Amazon Basics Classic Faux Leather Office Desk Guest Chair with Metal Frame, Black, 27.4D x 23.6W x 35.8H in"
chair,,,,
chair,"$78.41,$99.73",4.5 out of 5 stars,"4,413","Amazon Basics Classic Faux Leather Office Desk Guest Chair with Metal Frame, Black, 27.4D x 23.6W x 35.8H in"
chair,,,,"Amazon Basics Classic Faux Leather Office Desk Guest Chair with Metal Frame, Black, 27.4D x 23.6W x 35.8H in"
chair,,4.5 out of 5 stars,"4,413",
chair,"$78.41,$99.73",,,
chair,"$112.39,$147.89",4.6 out of 5 stars,"1,036","Amazon Basics Metal Dining Chairs, Dark Grey, 1 Count (Pack of 4)"
chair,,,,
chair,"$112.39,$147.89",4.6 out of 5 stars,"1,036","Amazon Basics Metal Dining Chairs, Dark Grey, 1 Count (Pack of 4)"
chair,,,,
chair,,,,
chair,,,,
chair,,,,
chair,,,,"Amazon Basics Metal Dining Chairs, Dark Grey, 1 Count (Pack of 4)"
chair,,4.6 out of 5 stars,"1,036",
chair,"$112.39,$147.89",,,
chair,,,,
chair,,,,
chair,"$30.60,$49.99",4.2 out of 5 stars,"1,008","Ergonomic Home Office Desk Chair, Adjustable Armless Computer Chair with Lumbar Support, Small Mesh Task Chair with Backrest Swivel Rolling for Study, Office, Conference Room Black"
chair,,,,
chair,"$30.60,$49.99",4.2 out of 5 stars,"1,008","Ergonomic Home Office Desk Chair, Adjustable Armless Computer Chair with Lumbar Support, Small Mesh Task Chair with Backrest Swivel Rolling for Study, Office, Conference Room Black"
chair,,,,"Ergonomic Home Office Desk Chair, Adjustable Armless Computer Chair with Lumbar Support, Small Mesh Task Chair with Backrest Swivel Rolling for Study, Office, Conference Room Black"
chair,,4.2 out of 5 stars,"1,008",
chair,"$30.60,$49.99",,,
chair,,,,
chair,,,,
chair,,,,
chair,,,,
chair,"$69.99,$89.99",4.5 out of 5 stars,"1,927","edx Home Office Desk Chair, Vanity Chair, Modern Adjustable Low Back Rolling Chair, Twill Upholstered Cute Office Chair, Desk Chairs with Wheels for Bedroom, Classroom, Vanity Room (Silver)"
chair,,,,
