model,title,price,rating,reviews
chair,Sun Lounger Replacement Cushion Topper Pads Set Outdoor Garden Recliner Chair,"779,811.10 VND,1,350,331.33 VND",,
chair,Niches Transparent Clear Office Dining Chair Ghost Plastic Victoria Dressing,"1,681,533.33 VND",,
chair,Stretch Plush Thick Sofa Covers 1 2 3 4 Seater Couch Chair Slipcover Protector,"380,714.29 VND,975,952.38 VND",,
chair,Folding Outdoor Chair Camping Garden Fishing Seat Lightweight Portable Foldable,"384,050.19 VND",,
chair,2x Zero Gravity Chair Outdoor Recliner Garden Patio Foldable Sun Shade Lounger,"2,585,057.24 VND,3,900,256.50 VND",,
chair,Sofa Seat Cover Covers Seater Couch Slipcover Cushion Elastic Settee Protector,"170,855.81 VND,257,935.21 VND",,
chair,TEXTOLINE BISTRO CHAIRS STACK OUTDOOR GARDEN PATIO DINING FURNITURE CREAM/BLACK,"3,302,711.64 VND,4,203,533.07 VND",,
chair,Folding Camping Chairs Lightweight Outdoor Patio Garden Beach Chair Fishing Seat,"339,009.14 VND,600,247.33 VND",,
chair,Folding Garden Chair With Armrests Picnic Camping Beach Fishing Outdoor Seat,"417,380.60 VND",,
chair,Ergonomic Office Desk Chair Comfortable Computer Desk,"3,913,153.57 VND",,
chair,Bistro Sets Black Wicker Table Chair Patio Garden Outdoor Furniture Diner Home,"900,521.17 VND",4.5 out of 5 stars.,33 product ratings
chair,Trespass Folding Chair Cup Holder Fishing Camping Garden Picnic Seat Settle,"540,192.60 VND",4.5 out of 5 stars.,21 product ratings
chair,New Eurohike Quilted Tub Camping Chair,"815,243.40 VND",5.0 out of 5 stars.,19 product ratings
chair,Waterproof  Garden Furniture Rattan Cushions - Seat Pads -For Indoor/Outdoor Use,"443,204.14 VND,2,729,789.21 VND",,
chair,Universal Spare Replacement Convenient for Gaming Chair,"1,530,952.38 VND",,
chair,Shop on eBay,$20.00,,
chair,Universal Spare Replacement Convenient for Gaming Chair,"1,530,952.38 VND",,
