model,title,price,rating,reviews
ipad,New sealed Apple iPad Mini 4 128GB Wi-Fi 7.9 in Space Gray MK9N2LL/A Grey,"6,904,523.81 VND",5.0 out of 5 stars.,432 product ratings
ipad,"Apple iPad 7th Gen. 128GB, Wi-Fi, 10.2 in - Space Gray - Screen Popping off #36","951,666.67 VND",5.0 out of 5 stars.,133 product ratings
ipad,"Apple iPad Mini 6th Gen A2567 8.3"" 64GB Wi-Fi *Read* | AP513","4,999,761.90 VND",,
ipad,Apple iPad 5th Gen A1823 (WiFi + Cellular Unlocked) 32GB Space Gray (Very Good),"3,571,428.57 VND",4.5 out of 5 stars.,118 product ratings
ipad,Apple iPad 2 32GB Wi-Fi + Cellular Unlocked 9.7in Black Good Condition 823,"780,411.62 VND",4.5 out of 5 stars.,106 product ratings
ipad,"Apple iPad 9th Gen (2021) 64GB, Wi-Fi, 10.2in Tablet - Silver (Please Read)","2,141,666.67 VND",5.0 out of 5 stars.,54 product ratings
ipad,Apple iPad 10.9-inch 10th Generation (2022) 256GB Blue Wi-Fi A2696,"12,357,142.86 VND",5.0 out of 5 stars.,2 product ratings
ipad,Unlocked Apple iPad Mini 2nd Gen 16GB Silver/White A1490,"1,142,619.05 VND",,
ipad,"Apple iPad Mini 4th Gen 7.9"" Wi-Fi or cellular (unlocked) - 16GB 32GB 64GB 128GB","4,758,333.33 VND,5,710,714.29 VND",4.5 out of 5 stars.,119 product ratings
ipad,"Apple iPad Air 2nd 16 32 64 128GB, WiFi, or Cellular Unlocked, Gray Silver Gold","2,377,380.95 VND,3,567,857.14 VND",4.5 out of 5 stars.,296 product ratings
ipad,"Apple iPad 4 9.7"" 16GB 32GB 64GB 128GB Black White WiFi or Cellular - Good","1,485,476.19 VND,1,609,285.71 VND",,
ipad,"Apple iPad Pro 1st Gen A2013,256GB,Wi-Fi Only , 11"",Silver :IM326","5,928,571.43 VND",5.0 out of 5 stars.,20 product ratings
ipad,Apple iPad Pro 11 2018 Wi-Fi 64GB Space Gray+Pencil+case+3 Connectors bundle,"8,023,809.52 VND",,
ipad,Apple IPad 7th generation 32gb wifi only preowned,"952,142.86 VND,1,904,523.81 VND",,
ipad,Apple iPad Pro 11 Inch 3rd - 256GB - Silver (Unlocked) (Read Description) CD1037,"7,023,809.52 VND",5.0 out of 5 stars.,8 product ratings
ipad,"Apple iPad Pro 3rd Gen 128GB, Wi-Fi, 11in  Space Gray  (A2377)","7,261,904.76 VND",5.0 out of 5 stars.,21 product ratings
ipad,"(L) Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7in- Battery Issue","689,285.71 VND",4.5 out of 5 stars.,83 product ratings
ipad,"Apple iPad 7th Gen. 128GB, Wi-Fi + 4G (AT&T), 10.2 in - Gold","1,452,380.95 VND",,
ipad,"Apple iPad Mini 5th Gen A2133,256GB, Wi-Fi, 7.9"",Silver :IM220","5,214,285.71 VND",5.0 out of 5 stars.,11 product ratings
ipad,IP1 Apple iPad (9th Gen.) - Space Gray - 64GB - WiFi - A2602 - turn on,"2,476,190.48 VND",,
ipad,Apple iPad Air 2 A1567 (WiFi + Cellular Unlocked) 64GB Silver (Very Good),"3,214,285.71 VND",,
ipad,Apple iPad 6th Generation A1893 32GB Wi-Fi 9.7in Space Gray MP2F2LL/A HOME BUTT.,"2,023,571.43 VND",,
ipad,WiFi Only Apple iPad Air 5th Gen 64GB Space Gray MM9C3LL/A A2588,"7,142,857.14 VND",5.0 out of 5 stars.,18 product ratings
ipad,"Apple iPad Air 1st Gen. 16GB, Wi-Fi - Space Grey (Excellent Condition)","1,651,205.69 VND",4.5 out of 5 stars.,47 product ratings
ipad,"Apple iPad Pro 2nd Generation 12.9"" 256GB, Space Gray, Non-cellular","6,904,761.90 VND",,
ipad,Apple iPad Air 2 - Excellent – Refurbished -GPS/ 4G - All Sizes & Colours,"4,774,353.57 VND,5,074,627.38 VND",,
ipad,"Apple iPad Mini 5 7.9"" 64GB 256GB Gray Silver Gold WIFi or Cellular - Good","6,809,285.71 VND,8,666,428.57 VND",,
ipad,"Apple iPad Pro 3rd Gen. 1TB, Wi-Fi + 4G Unlocked, 12.9 in - READ!","9,404,761.90 VND",,
ipad,Apple iPad Mini 4 A1538 128GB Wi-Fi Only 7.8in Gray *QTY,"2,380,714.29 VND",,
ipad,Apple iPad 2019 7th Gen 32GB WiFi Only - All Colors-Very Good,"4,285,476.19 VND",,
ipad,"Apple iPad Pro 1st Gen. 256GB, Wi-Fi, 11 in - Salvage - Lot of 2 (TP52203)","9,928,571.43 VND",5.0 out of 5 stars.,99 product ratings
ipad,Apple iPad 7 -32GB - Wi-Fi -Space gray - Apple Pencil And Keyboard Case Bundle,"5,452,380.95 VND",,
ipad,Apple iPad Pro 1 (12.9) - Excellent–Refurbished - GPS/ 4G - All Sizes & Colours,"7,388,237.10 VND,8,529,277.57 VND",,
ipad,"Apple iPad 10.2-inch 9th Gen. 64GB, Wi-Fi, Space Gray","6,404,761.90 VND",5.0 out of 5 stars.,128 product ratings
ipad,"Apple iPad 7 10.2"" 32GB 128GB Space Gray Gold Silver WiFi or Cellular - Good","6,059,523.81 VND",,
ipad,Apple iPad 9 - 64GB - Gray (Wifi) (Read Description) CG1007,"761,904.76 VND",5.0 out of 5 stars.,128 product ratings
ipad,Apple iPad Air - 16GB - Gray (Unlocked) (Read Description) CD1115,"416,666.67 VND",4.5 out of 5 stars.,43 product ratings
ipad,Apple iPad Pro 3rd Gen. Immaculate Condition!,"7,142,857.14 VND,9,523,809.52 VND",4.5 out of 5 stars.,59 product ratings
ipad,Apple iPad Air 2 - 128GB - Silver (Wifi) (Read Description) CE1120,"952,380.95 VND",4.5 out of 5 stars.,130 product ratings
ipad,"Apple iPad 8th Gen. 32GB, Wi-Fi, 10.2 in - Space Gray Actvation on","1,904,761.90 VND",5.0 out of 5 stars.,169 product ratings
ipad,"Apple iPad 8th Gen. 32GB, Wi-Fi + 4G (Unlocked), 10.2 in - (see Description)","2,380,952.38 VND",5.0 out of 5 stars.,169 product ratings
ipad,Apple iPad 9th Gen 2021 10.2 inch 64GB Wi-Fi Silver A2602 (MK2K3LL/A) Bargain ,"8,857,777.12 VND",,
ipad,"Apple iPad Air 4th Gen Wi-Fi, 10.9in - 64GB 256GB - Gray Silver Gold Green Blue","9,520,238.10 VND,11,425,000.00 VND",5.0 out of 5 stars.,12 product ratings
ipad,Apple iPad 8 - 32GB - Silver (Wifi) (Read Description) CG1006,"785,714.29 VND",5.0 out of 5 stars.,2 product ratings
ipad,Apple iPad 2 - 16GB - Tested & Working,"476,190.48 VND",,
ipad,"Apple iPad 5th Gen. 32GB, Wi-Fi, 9.7 in - Space Gray - 1 Owner - Fantastic Cond.","369,047.62 VND",5.0 out of 5 stars.,585 product ratings
ipad,"Apple iPad Air 2 64GB, Wi-Fi, 9.7in - Silver MDM Bypassed","666,666.67 VND",,
ipad,"Apple iPad 10th Gen. 64GB, Wi-Fi, 10.9in - Pink - Apple Warranty RL6034","7,619,047.62 VND",5.0 out of 5 stars.,3 product ratings
ipad,"Apple iPad 10.2-inch 9th Gen. 256GB, Wi-Fi, Space Gray (READ DESCRIPTION)","4,845,238.10 VND",,
ipad,Apple iPad Air 2 16GB Wi-Fi Unlocked 9.7in Silver Good Condition Grade B/C 504,"2,101,616.40 VND",4.5 out of 5 stars.,45 product ratings
ipad,"Apple iPad Air 5th Gen. 256GB (2023), Wi-Fi, 10.9in - Space Gray w/original box","9,523,809.52 VND,14,285,714.29 VND",3.0 out of 5 stars.,2 product ratings
ipad,Apple iPad Pro 10.5 Inch - 64GB - Gray (Unlocked) (Read Description) CG1088,"1,952,380.95 VND",5.0 out of 5 stars.,23 product ratings
ipad,"Apple iPad 7th Gen A2200,32GB, Wi-Fi + 4G   10.2"",Space Gray :IY772","2,833,333.33 VND",4.5 out of 5 stars.,42 product ratings
ipad,Apple iPad 5th gen Wifi or Cellular Unlocked - Gray Silver Gold - 32GB 128GB,"3,567,857.14 VND,4,044,047.62 VND",4.5 out of 5 stars.,118 product ratings
ipad,"Apple iPad mini 5th Gen Retina 64GB Wi-Fi 7.9""Latest iOS 16 Space Grey 2019 GOOD","8,377,639.29 VND",,
ipad,Shop on eBay,$20.00,,
ipad,Apple iPad mini 2 16 & 32GB  Wi-Fi ONLY 7.9in Retina  ( VERY GOOD),"1,666,428.57 VND",,
ipad,Apple iPad 4 (2012) 9.7in Wi-Fi - Black/White - 16GB/32GB/64GB - Very Good,"1,351,232.14 VND",,
ipad,"Apple iPad Air 2 32GB, Wi-Fi, 9.7in - Gold","1,904,761.90 VND",4.5 out of 5 stars.,23 product ratings
