model,title,price,rating,reviews
pencil,Waterproof Eyebrow Pencil Liner Eye Brow Powder Pen Makeup Beauty Cosmetic Tool*,"27,380.95 VND,28,333.33 VND",,
pencil,Logitech Crayon Digital Pencil for All Apple iPads (2018 releases and later),"809,285.71 VND",,
pencil,Eyebrow PENCIL & BRUSH - Fine Brow Definition Shaper - Waterproof Liner 5 COLOUR,"89,781.88 VND",,
pencil,Waterproof Eyebrow Pencil Liner Eye Brow Powder Pen Makeup Beauty Cosmetic Tool,"20,821.79 VND",,
pencil,Metal Aluminium Double Hole Pencil Sharpener 8mm 10mm Drawing School Art,"55,550.67 VND,4,504,107.14 VND",,
pencil,Apple Pencil Tips - 4 PIECE - NEW,"233,322.62 VND",,
pencil,Professional Eyebrow Pencil with Brush Comb *DARK BROWN / HAZEL / BLACK BROWN,"89,781.88 VND,420,083.07 VND",,
pencil,Laval Eyebrow Pencil - Brows Black Blonde Brown Dark Shaping Define Colour In ,"83,776.40 VND",,
pencil,DASIQUE Mood Blur Lip Pencil 0.9g 10colors Vegan 2023 S/S K-Beauty,"380,952.38 VND",,
pencil,MAYBELLINE Brow Satin Duo Pencil & Powder - CHOOSE SHADE - NEW,"170,855.81 VND,199,381.81 VND",,
pencil,Avon Brow Sculpting Pencil - range of shades - NEW,"135,123.21 VND",,
pencil,Super Fine Eyebrow Pencil Liner Liquid Brush Pen Makeup Waterproof Long-lasting,"107,798.31 VND",,
pencil,Waterproof Ultra Thin Tip Eye Brow Eyebrow Pen Pencil With Brush Makeup Tools !!,"110,801.05 VND",,
pencil,Microblading Tattoo Eyebrow Ink Pen Long Lasting Eye Brow Pencil 3D Fork Makeup/,"40,238.10 VND,64,047.62 VND",,
pencil,Active Stylus/Pencil 1st Gen for Apple(iPad Air Pro Mini) Android & Windows Tab,"330,000.93 VND",,
pencil,Tint Eye Brow 4-TIP BROW Waterproof Long Lasting Microblading Eyebrow Pen Pencil,"57,047.19 VND",,
pencil,"1 NYX Waterproof Slide On Lip Pencil Liner ""Pick Your 1 Color""*Joy's cosmetics*","117,857.14 VND,285,476.19 VND",,
pencil,Eyebrow pencil liquid Ink makeup waterproof 4 fork pencil brow Microblading,"74,768.19 VND",,
pencil,PHOERA Waterproof Microblading Eye Brow Eyeliner Eyebrow Pencil Pen Brush~US,"79,761.90 VND",,
pencil,Maybelline Express Brow Ultra Slim Eyebrow Pencil Xpress NEW Shade - Deep Brown ,"164,850.33 VND",,
pencil,Retractable Eyeliner Pencil Soft Smooth Sweatproof Highly Pigmented Eyes Gel Pen,"41,738.07 VND",,
pencil,"Rimmel Scandaleyes Waterproof Kohl Kajal Liner Pencil, Eyeliner - *ALL SHADES*","106,597.21 VND",,
pencil,Lady Eyeshadow Pen Highlight Pencil Eye Shadow Stick Waterproof Eyeliner Beauty~,"37,857.14 VND,69,523.81 VND",,
pencil,Mechanical Pencil Clutch Leadholder 5.6mm KOH-I-NOOR VERSATIL Lead Holder 5340,"156,142.38 VND,525,479.17 VND",,
pencil,"1 NYX Slim Eye Pencil / Eyeliner - SPE ""Pick Your 1 Color""  *Joy's cosmetics*","108,333.33 VND,237,857.14 VND",3.5 out of 5 stars.,4 product ratings
pencil,MUA Makeup Brow Define Micro Precision Eyebrow Pencil & Spooly Select Your Shade,"119,809.26 VND",,
pencil,Apple Pencil Stylus Tips Authentic Brand New - MLUN2AM/A (4 Pack),"357,142.86 VND",5.0 out of 5 stars.,35 product ratings
pencil,AVON TRUE COLOUR GLIMMERSTICK BROW DEFINER Many Shades BNIB Fast FREE Shipping,"229,709.48 VND",,
pencil,Bourjois Sourcil Precision Eyebrow Brow Pencil Blonde Blond Fonce 04,"119,809.26 VND",5.0 out of 5 stars.,2 product ratings
pencil,"REFY Brow Pencil 0.06g, MEDIUM","330,000.93 VND",,
pencil,AVON MICRO Fine Brow Pencils/Brow Definer Clearance,"120,109.52 VND,780,411.62 VND",,
pencil,NEW EYELINER Pencil Waterproof Retractable Twister Makeup Black Eye Liner Twist,"23,101.76 VND",,
pencil,MENOW Waterproof Long Lasting Eye Makeup Eyebrow Pencil with Comb Cosmetic,"40,238.10 VND",,
pencil,Waterproof Automatic Rotation Double Head Eyebrow Pencil Pen Brush Makeup Tool,"25,476.19 VND",,
pencil,Shop on eBay,$20.00,,
pencil,Waterproof Liner Eyebrow PENCIL & BRUSH - Fine Brow Definition Shaper 5 colour,"74,768.19 VND",,
pencil,New Everlasting Pencil Inkless Eternal Pen Student Unlimited Writing Reusable US,"24,761.90 VND,44,047.62 VND",,
pencil,Pencil Touch Screen Pen Capacitive Pen For Tablet iPad Cell Phone Samsung PC,"26,716.31 VND,52,961.17 VND",,
pencil,Makeup Brow Pencil Stylist Waterproof Brow Pencil Ultra Fine Mechanical Pencil,"23,571.43 VND",,
pencil,NEW EYELINER Pencil Waterproof Retractable Twister Makeup Black Eye Liner Twist,"23,101.76 VND",,
pencil,"2021 Apple iPad 9th Gen 64/256GB WiFi 10.2""","7,119,047.62 VND,11,309,523.81 VND",5.0 out of 5 stars.,25 product ratings
